# PDB,Heme,ligand,saddling
1e86,HEC_A_128,HIS-CMO,0.139
1e93,HEM_A_600,TYR-HOH,0.059
1e9x,HEM_A_460,CYS-PIM,0.007
1ea1,HEM_A_460,CYS-TPF,-0.039
1eb7,HEC_A_401,HIS-HIS,0.354
1eb7,HEC_A_402,HIS-MET,0.499
1ebc,HEM_A_154,HIS-CYN,0.134
1ebe,HEM_A_1295,HIS-O,-0.403
1ebt,HEM_A_144,HIS-CYN,-0.424
1eca,HEM_A_137,HIS-HOH,-0.044
1ecd,HEM_A_137,HIS,0.051
1ecn,HEM_A_138,HIS-CYN,0.045
1eco,HEM_A_137,HIS-CMO,0.038
1ed4,HEM_A_1500,CYS,-0.625
1ed4,HEM_B_2500,CYS,-0.601
1ed5,HEM_A_1500,CYS,-0.573
1ed5,HEM_B_2500,CYS,-0.446
1ed6,HEM_A_1500,CYS,-0.676
1ed6,HEM_B_2500,CYS,-0.471
1egy,HEM_A_410,CYS-9AP,0.186
1ehb,HEM_A_201,HIS-HIS,0.372
1ehe,HEM_A_501,CYS-HOH,-0.066
1ehf,HEM_A_501,CYS,-0.099
1ehg,HEM_A_501,CYS,-0.132
1ehk,HEM_A_800,HIS-HIS,-0.553
1emy,HEM_A_154,HIS-CYN,-0.033
1eqg,HEM_A_601,HIS,-0.155
1eqg,HEM_B_601,HIS,-0.144
1eqh,HEM_A_601,HIS,-0.105
1eqh,HEM_B_601,HIS,-0.111
1es1,HEM_A_201,HIS-HIS,0.369
1etp,HEM_A_199,HIS-MET,0.369
1etp,HEM_A_200,HIS-MET,-0.008
1etp,HEM_B_199,HIS-MET,0.448
1etp,HEM_B_200,HIS-MET,0.058
1eue,HEM_A_201,HIS-HIS,0.281
1eue,HEM_B_201,HIS-HIS,0.272
1euo,HEM_A_260,HIS-NH3,0.383
1eup,HEM_A_410,CYS,-0.098
1ew0,HEM_A_501,HIS,0.514
1ew6,HEM_A_139,HIS,-0.015
1ew6,HEM_B_139,HIS-HOH,-0.021
1ewa,HEM_A_139,HIS,-0.015
1ewa,HEM_B_139,HIS,-0.021
1ewh,HEC_A_253,HIS-TYR,-0.567
1ewh,HEC_B_253,HIS-TYR,-0.503
1ewh,HEC_C_253,HIS-TYR,-0.646
1eys,HEM_C_609,HIS-MET,0.727
1eys,HEM_C_610,HIS-MET,0.465
1eys,HEM_C_611,HIS-MET,0.322
1eys,HEM_C_612,HIS-HIS,0.011
1ezv,HEM_C_401,HIS-HIS,0.239
1ezv,HEM_C_402,HIS-HIS,-0.648
1ezv,HEM_D_3,HIS-MET,0.109
1f1c,HEC_A_200,HIS-HIS,0.270
1f1c,HEC_B_400,HIS-HIS,0.271
1f1f,HEC_A_200,HIS-MET,0.045
1f24,HEM_A_501,CYS-NO,-0.225
1f25,HEM_A_501,CYS-NO,-0.235
1f26,HEM_A_501,CYS-NO,-0.021
1f4j,HEM_A_600,TYR,0.032
1f4j,HEM_B_600,TYR,0.400
1f4j,HEM_C_600,TYR,0.298
1f4j,HEM_D_600,TYR,0.271
1f4t,HEM_A_410,CYS-PIM,-0.206
1f4t,HEM_B_410,CYS-PIM,-0.293
1f4u,HEM_A_410,CYS-IMD,-0.250
1f4u,HEM_B_410,CYS-IMD,-0.262
1f5o,HEM_A_150,HIS,0.171
1f5o,HEM_B_150,HIS,0.151
1f5o,HEM_C_150,HIS,0.147
1f5o,HEM_D_150,HIS,0.146
1f5o,HEM_E_150,HIS,0.154
1f5o,HEM_F_150,HIS,0.139
1f5p,HEM_A_150,HIS-CMO,0.213
1f5p,HEM_B_150,HIS-CMO,0.243
1f5p,HEM_C_150,HIS-CMO,0.145
1f5p,HEM_D_150,HIS-CMO,0.155
1f5p,HEM_E_150,HIS-CMO,0.257
1f5p,HEM_F_150,HIS-CMO,0.024
1f63,HEM_A_200,HIS,0.236
1f65,HEM_A_200,HIS-OXY,0.133
1fag,HEM_A_472,CYS,-0.436
1fag,HEM_B_472,CYS,-0.475
1fag,HEM_C_472,CYS,-0.443
1fag,HEM_D_472,CYS,-0.502
1fah,HEM_A_472,CYS-HOH,-0.034
1fah,HEM_B_472,CYS-HOH,-0.196
1fcb,HEM_A_560,HIS-HIS,-0.035
1fcd,HEC_C_901,HIS-MET,-0.117
1fcd,HEC_C_902,HIS-MET,0.322
1fcd,HEC_D_901,HIS-MET,0.115
1fcd,HEC_D_902,HIS-MET,0.613
1fcs,HEM_A_155,HIS,0.262
1fdh,HEM_A_142,HIS,0.000
1fdh,HEM_G_147,HIS,-0.000
1fdh,HEM_B_142,HIS,0.000
1fdh,HEM_H_147,HIS,-0.000
1fgj,HEM_A_547,HIS-HIS,-0.183
1fgj,HEM_A_548,HIS-HIS,0.329
1fgj,HEM_A_549,HIS-HIS,-0.116
1fgj,HEC_A_550,HIS,0.338
1fgj,HEM_A_551,HIS-HIS,0.611
1fgj,HEM_A_552,HIS-HIS,-0.351
1fgj,HEM_A_553,HIS-HIS,1.023
1fgj,HEM_A_554,HIS-HIS,0.114
1fgj,HEM_B_547,HIS-HIS,0.142
1fgj,HEM_B_548,HIS-HIS,0.378
1fgj,HEM_B_549,HIS-HIS,-0.165
1fgj,HEC_B_550,HIS,0.260
1fgj,HEM_B_551,HIS-HIS,0.523
1fgj,HEM_B_552,HIS-HIS,-0.473
1fgj,HEM_B_553,HIS-HIS,0.855
1fgj,HEM_B_554,HIS-HIS,0.119
1fhf,HEM_A_350,HIS,-0.816
1fhf,HEM_B_350,HIS,-0.817
1fhf,HEM_C_350,HIS,-0.816
1fhj,HEM_A_142,HIS-HOH,0.139
1fhj,HEM_B_147,HIS,0.159
1fhj,HEM_C_142,HIS-HOH,-0.123
1fhj,HEM_D_147,HIS-HOH,0.351
1fj0,HEC_A_115,HIS-MET,-0.296
1fj0,HEC_B_115,HIS-MET,-0.388
1fj0,HEC_C_115,HIS-MET,-0.337
1fj0,HEC_D_115,HIS-MET,-0.327
1flp,HEM_A_143,HIS-HOH,-0.407
1foc,HEC_A_200,HIS-MET,-0.197
1foc,HEC_B_200,HIS-MET,0.015
1foi,HEM_A_500,CYS,-0.610
1foi,HEM_B_500,CYS,-0.683
1foj,HEM_A_500,CYS,-0.473
1foj,HEM_B_500,CYS,-0.433
1fol,HEM_A_500,CYS,-0.813
1fol,HEM_B_500,CYS,-0.471
1foo,HEM_A_500,CYS-NO,-0.456
1foo,HEM_B_500,CYS-NO,-0.364
1fop,HEM_A_500,CYS-NO,-0.741
1fop,HEM_B_500,CYS-NO,-0.616
1fs7,HEC_A_508,LYS-HOH,0.491
1fs7,HEC_A_509,HIS-HIS,0.628
1fs7,HEC_A_510,HIS-HIS,-0.287
1fs7,HEC_A_511,HIS-HIS,0.108
1fs7,HEC_A_512,HIS-HIS,0.196
1fs8,HEC_A_508,LYS-SO4,0.557
1fs8,HEC_A_509,HIS-HIS,0.706
1fs8,HEC_A_510,HIS-HIS,-0.325
1fs8,HEC_A_511,HIS-HIS,0.048
1fs8,HEC_A_512,HIS-HIS,0.163
1fs9,HEC_A_508,LYS-HOH,0.607
1fs9,HEC_A_509,HIS-HIS,0.683
1fs9,HEC_A_510,HIS-HIS,-0.289
1fs9,HEC_A_511,HIS-HIS,0.181
1fs9,HEC_A_512,HIS-HIS,0.083
1fsl,HEM_A_144,HIS-NIO,0.329
1fsl,HEM_B_144,HIS-NIO,0.260
1fsx,HEM_A_143,HIS-CMO,0.351
1fsx,HEM_B_348,HIS-CMO,0.112
1fsx,HEM_C_543,HIS-CMO,0.271
1fsx,HEM_D_748,HIS-CMO,0.009
1ft5,HEM_A_213,HIS-HIS,0.235
1ft5,HEM_A_214,HIS,0.291
1ft5,HEM_A_215,HIS-HIS,0.022
1ft5,HEM_A_216,HIS-HIS,0.011
1ft6,HEC_A_213,HIS-HIS,0.271
1ft6,HEC_A_214,HIS,0.322
1ft6,HEC_A_215,HIS-HIS,0.052
1ft6,HEC_A_216,HIS-HIS,-0.130
1ft9,HEM_A_300,HIS-PRO,-0.110
1ft9,HEM_B_300,HIS-PRO,-0.350
1g08,HEM_A_142,HIS-CMO,0.257
1g08,HEM_B_147,HIS-CMO,0.263
1g08,HEM_C_142,HIS-CMO,0.311
1g08,HEM_D_147,HIS-CMO,0.320
1g09,HEM_A_142,HIS-CMO,0.199
1g09,HEM_B_147,HIS-CMO,0.285
1g09,HEM_C_142,HIS-CMO,0.254
1g09,HEM_D_147,HIS-CMO,0.251
1g0a,HEM_A_142,HIS-CMO,0.266
1g0a,HEM_B_147,HIS-CMO,0.316
1g0a,HEM_C_142,HIS-CMO,0.268
1g0a,HEM_D_147,HIS-CMO,0.476
1g0b,HEM_A_142,HIS-CMO,0.256
1g0b,HEM_B_147,HIS-CMO,0.351
1g9v,HEM_A_143,HIS,0.228
1g9v,HEM_B_348,HIS,0.449
1g9v,HEM_C_543,HIS,0.064
1g9v,HEM_D_748,HIS,0.288
1gbu,HEM_A_142,HIS,0.039
1gbu,HEM_B_148,HIS,0.202
1gbu,HEM_C_142,HIS,0.023
1gbu,HEM_D_148,HIS,0.440
1gbv,HEM_A_142,HIS-OXY,0.028
1gbv,HEM_B_147,HIS,0.381
1gbv,HEM_C_142,HIS-OXY,0.067
1gbv,HEM_D_147,HIS,0.244
1gcv,HEM_A_141,HIS,0.271
1gcv,HEM_B_137,HIS,0.101
1gcv,HEM_C_141,HIS,0.404
1gcv,HEM_D_137,HIS,-0.066
1gcw,HEM_A_141,HIS-CMO,0.121
1gcw,HEM_B_136,HIS-CMO,-0.375
1gcw,HEM_C_141,HIS-CMO,0.212
1gcw,HEM_D_136,HIS-CMO,0.233
1gdi,HEM_A_154,HIS-CMO,0.066
1gdj,HEM_A_154,HIS,0.105
1gdk,HEM_A_154,HIS-ISQ,0.158
1gdl,HEM_A_154,HIS-NO,0.061
1gdv,HEC_A_101,HIS-MET,0.426
1geb,HEM_A_417,CYS,0.312
1ged,HEM_A_501,CYS,-0.104
1gei,HEM_A_501,CYS-NBN,-0.164
1gej,HEM_A_501,CYS-NBN,-0.099
1gek,HEM_A_417,CYS-NBN,0.406
1gem,HEM_A_417,CYS-NBN,0.467
1gg9,HEM_A_760,TYR,-0.044
1gg9,HEM_B_760,TYR,-0.082
1gg9,HEM_C_760,TYR,-0.075
1gg9,HEM_D_760,TYR,-0.078
1ggf,HEM_A_760,TYR-PEO,-0.082
1ggf,HEM_B_760,TYR-PEO,0.055
1ggf,HEM_C_760,TYR-PEO,-0.026
1ggf,HEM_D_760,TYR,-0.087
1ggh,HEM_A_760,TYR,-0.100
1ggh,HEM_B_760,TYR,-0.111
1ggh,HEM_C_760,TYR,-0.099
1ggh,HEM_D_760,TYR,-0.099
1ggk,HEM_A_760,TYR,-0.082
1ggk,HEM_B_760,TYR,0.022
1ggk,HEM_C_760,TYR,-0.023
1ggk,HEM_D_760,TYR,-0.057
1gjm,HEM_A_417,CYS-HOH,0.559
1gjn,HEM_A_1154,HIS-OH,0.030
1gjq,HEC_A_601,HIS-MET,-0.171
1gjq,HEC_B_601,HIS-MET,-0.063
1gli,HEM_A_142,HIS,0.079
1gli,HEM_B_148,HIS,0.403
1gli,HEM_C_142,HIS,0.079
1gli,HEM_D_147,HIS,0.403
1gm4,HEC_A_201,HIS-HIS,-0.033
1gm4,HEC_A_202,HIS-HIS,-0.122
1gm4,HEC_A_203,HIS-HIS,0.092
1gm4,HEC_A_204,HIS-HIS,1.001
1gmb,HEC_A_201,HIS-HIS,-0.059
1gmb,HEC_A_202,HIS-HIS,0.057
1gmb,HEC_A_203,HIS-HIS,0.244
1gmb,HEC_A_204,HIS-HIS,1.002
1gq1,HEC_A_601,HIS-HIS,0.160
1gq1,HEC_B_601,HIS-HIS,0.142
1gqa,HEC_A_131,HIS,-0.139
1gqa,HEC_D_131,HIS,-0.210
1gu2,HEC_A_125,HIS-HIS,0.572
1gu2,HEC_B_125,HIS-HIS,0.531
1gu6,HEC_A_1482,LYS-HOH,0.425
1gu6,HEC_A_1483,HIS-HIS,0.340
1gu6,HEC_A_1484,HIS-HIS,0.025
1gu6,HEC_A_1485,HIS-HIS,-0.063
1gu6,HEC_A_1486,HIS-HIS,0.115
1gu6,HEC_C_1482,LYS-HOH,0.479
1gu6,HEC_C_1483,HIS-HIS,0.327
1gu6,HEC_C_1484,HIS-HIS,-0.021
1gu6,HEC_C_1485,HIS-HIS,-0.087
1gu6,HEC_C_1486,HIS-HIS,0.128
1gu6,HEC_E_1482,LYS-HOH,0.423
1gu6,HEC_E_1483,HIS-HIS,0.328
1gu6,HEC_E_1484,HIS-HIS,-0.011
1gu6,HEC_E_1485,HIS-HIS,-0.084
1gu6,HEC_E_1486,HIS-HIS,0.149
1gu6,HEC_G_1482,LYS-HOH,0.428
1gu6,HEC_G_1483,HIS-HIS,0.338
1gu6,HEC_G_1484,HIS-HIS,-0.028
1gu6,HEC_G_1485,HIS-HIS,-0.085
1gu6,HEC_G_1486,HIS-HIS,0.117
1gvh,HEM_A_1398,HIS,0.142
1gw2,HEM_A_350,HIS,-0.801
1gwe,HEM_A_504,TYR-HOH,-0.157
1gwf,HEM_A_504,TYR-O,-0.079
1gwh,HEM_A_504,TYR-HOH,-0.101
1gwi,HEM_A_1414,CYS-HOH,-0.233
1gwi,HEM_B_1412,CYS-HOH,-0.312
1gwo,HEM_A_350,HIS,-0.784
1gws,HEC_A_601,HIS-HIS,-0.377
1gws,HEC_A_602,HIS-HIS,0.366
1gws,HEC_A_603,HIS-HIS,-0.082
1gws,HEC_A_604,HIS-HIS,-0.096
1gws,HEC_A_605,HIS-HIS,-0.009
1gws,HEC_A_606,HIS-HIS,0.081
1gws,HEC_A_607,HIS-HIS,0.349
1gws,HEC_A_608,HIS-HIS,-0.138
1gws,HEC_A_609,HIS-HIS,0.444
1gws,HEC_A_610,HIS-HIS,0.159
1gws,HEC_A_611,HIS-HIS,0.072
1gws,HEC_A_612,HIS-HIS,-0.428
1gws,HEC_A_613,HIS-HIS,-0.489
1gws,HEC_A_614,HIS-HIS,-0.110
1gws,HEC_A_615,HIS,0.198
1gws,HEC_A_616,HIS-HIS,-0.239
1gwt,HEM_A_350,HIS-HOH,-0.785
1gwu,HEM_A_1306,HIS,-0.832
1gx2,HEM_A_1308,HIS-HOH,-0.648
1gx2,HEM_B_1308,HIS-HOH,-0.648
1gyo,HEC_A_111,HIS-HIS,-0.298
1gyo,HEC_A_112,HIS-HIS,0.037
1gyo,HEC_A_113,HIS-HIS,0.593
1gyo,HEC_A_114,HIS-HIS,0.697
1gyo,HEC_B_111,HIS-HIS,-0.300
1gyo,HEC_B_112,HIS-HIS,-0.029
1gyo,HEC_B_113,HIS-HIS,0.496
1gyo,HEC_B_114,HIS-HIS,0.675
1gza,HEM_A_345,HIS,-1.075
1gzb,HEM_A_345,HIS,-1.102
1gzx,HEM_A_1142,HIS-OXY,0.123
1gzx,HEM_B_1290,HIS-OXY,0.329
1gzx,HEM_C_1542,HIS-OXY,0.246
1gzx,HEM_D_1690,HIS-OXY,0.728
1h1o,HEM_A_1184,HIS-MET,0.042
1h1o,HEM_A_1185,HIS-MET,0.022
1h1o,HEM_B_1385,HIS-MET,0.049
1h1o,HEM_B_1386,HIS-MET,0.023
1h1x,HEM_A_1154,HIS-CYN,0.260
1h21,HEC_A_1248,HIS-HIS,0.029
1h21,HEC_A_1249,HIS-HIS,-0.521
1h21,HEC_B_1248,HIS-HIS,-0.033
1h21,HEC_B_1249,HIS-HIS,-0.552
1h21,HEC_C_1248,HIS-HIS,-0.490
1h21,HEC_D_1248,HIS-HIS,0.126
1h21,HEC_D_1249,HIS-HIS,-0.117
1h21,HEC_D_1250,HIS-HIS,-0.412
1h29,HEC_A_1101,HIS-HIS,-0.240
1h29,HEC_A_1102,HIS-HIS,0.297
1h29,HEC_A_1103,HIS-HIS,0.096
1h29,HEC_A_1104,HIS-HIS,-0.007
1h29,HEC_A_1105,HIS-HIS,0.086
1h29,HEC_A_1106,HIS-HIS,0.152
1h29,HEC_A_1107,HIS-HIS,0.511
1h29,HEC_A_1108,HIS-HIS,0.028
1h29,HEC_A_1109,HIS-HIS,0.715
1h29,HEC_A_1110,HIS-HIS,0.243
1h29,HEC_A_1111,HIS-HIS,-0.049
1h29,HEC_A_1112,HIS-HIS,-0.441
1h29,HEC_A_1113,HIS-HIS,-0.482
1h29,HEC_A_1114,HIS-HIS,0.038
1h29,HEC_A_1115,HIS,0.023
1h29,HEC_A_1116,HIS-HIS,-0.070
1h29,HEC_B_1101,HIS-HIS,-0.170
1h29,HEC_B_1102,HIS-HIS,0.366
1h29,HEC_B_1103,HIS-HIS,-0.049
1h29,HEC_B_1104,HIS-HIS,-0.001
1h29,HEC_B_1105,HIS-HIS,0.086
1h29,HEC_B_1106,HIS-HIS,0.128
1h29,HEC_B_1107,HIS-HIS,0.406
1h29,HEC_B_1108,HIS-HIS,-0.009
1h29,HEC_B_1109,HIS-HIS,0.484
1h29,HEC_B_1110,HIS-HIS,0.073
1h29,HEC_B_1111,HIS-HIS,-0.154
1h29,HEC_B_1112,HIS-HIS,-0.558
1h29,HEC_B_1113,HIS-HIS,-0.352
1h29,HEC_B_1114,HIS-HIS,0.093
1h29,HEC_B_1115,HIS,0.086
1h29,HEC_B_1116,HIS-HIS,-0.150
1h29,HEC_C_1101,HIS-HIS,-0.084
1h29,HEC_C_1102,HIS-HIS,0.335
1h29,HEC_C_1103,HIS-HIS,-0.068
1h29,HEC_C_1104,HIS-HIS,-0.019
1h29,HEC_C_1105,HIS-HIS,-0.043
1h29,HEC_C_1106,HIS-HIS,0.115
1h29,HEC_C_1107,HIS-HIS,0.372
1h29,HEC_C_1108,HIS-HIS,-0.051
1h29,HEC_C_1109,HIS-HIS,0.476
1h29,HEC_C_1110,HIS-HIS,0.066
1h29,HEC_C_1111,HIS-HIS,-0.006
1h29,HEC_C_1112,HIS-HIS,-0.353
1h29,HEC_C_1113,HIS-HIS,-0.537
1h29,HEC_C_1114,HIS-HIS,0.265
1h29,HEC_C_1115,HIS,0.115
1h29,HEC_C_1116,HIS-HIS,-0.105
1h29,HEC_D_1101,HIS-HIS,-0.278
1h29,HEC_D_1102,HIS-HIS,0.322
1h29,HEC_D_1103,HIS-HIS,0.053
1h29,HEC_D_1104,HIS-HIS,-0.172
1h29,HEC_D_1105,HIS-HIS,0.157
1h29,HEC_D_1106,HIS-HIS,0.015
1h29,HEC_D_1107,HIS-HIS,0.340
1h29,HEC_D_1108,HIS-HIS,-0.084
1h29,HEC_D_1109,HIS-HIS,0.607
1h29,HEC_D_1110,HIS-HIS,0.104
1h29,HEC_D_1111,HIS-HIS,-0.103
1h29,HEC_D_1112,HIS-HIS,-0.488
1h29,HEC_D_1113,HIS-HIS,-0.493
1h29,HEC_D_1114,HIS-HIS,0.166
1h29,HEC_D_1115,HIS,0.131
1h29,HEC_D_1116,HIS-HIS,-0.081
1h31,HEC_A_1262,CYS-HIS,0.167
1h31,HEC_A_1263,HIS-CSS,0.222
1h31,HEC_B_1139,HIS-MET,0.088
1h31,HEC_C_1262,CYS-HIS,0.144
1h31,HEC_C_1263,HIS-CSS,0.177
1h31,HEC_D_1139,HIS-MET,0.087
1h31,HEC_E_1262,CYS-HIS,0.107
1h31,HEC_E_1263,HIS-CSS,0.159
1h31,HEC_F_1139,HIS-MET,0.036
1h31,HEC_G_1262,CYS-HIS,0.121
1h31,HEC_G_1263,HIS-CSS,0.189
1h31,HEC_H_1139,HIS-MET,0.089
1h32,HEC_A_1263,CYS-HIS,0.212
1h32,HEC_A_1264,HIS-CSS,0.294
1h32,HEC_B_1139,HIS-MET,0.148
1h33,HEC_A_1262,CYS-HIS,0.211
1h33,HEC_A_1263,HIS-CSS,0.312
1h33,HEC_B_1138,HIS-MET,0.137
1h3j,HEM_A_401,HIS-HOH,-0.933
1h3j,HEM_B_401,HIS-HOH,-0.918
1h55,HEM_A_350,HIS-O,-0.745
1h57,HEM_A_350,HIS-OXY,-0.781
1h58,HEM_A_350,HIS,-0.816
1h5a,HEM_A_350,HIS,-0.835
1h5c,HEM_A_350,HIS,-0.799
1h5d,HEM_A_350,HIS,-0.773
1h5e,HEM_A_350,HIS,-0.774
1h5f,HEM_A_350,HIS,-0.745
1h5g,HEM_A_350,HIS,-0.792
1h5h,HEM_A_350,HIS,-0.761
1h5i,HEM_A_350,HIS,-0.802
1h5j,HEM_A_350,HIS,-0.705
1h5k,HEM_A_350,HIS,-0.755
1h5l,HEM_A_350,HIS,-0.808
1h5m,HEM_A_350,HIS,-0.762
1h5z,HEM_A_460,CYS-HOH,-0.058
1h6n,HEM_A_600,TYR-HOH,-0.013
1h7k,HEM_A_600,TYR,0.050
1h97,HEM_A_148,HIS-HOH,0.437
1h97,HEM_B_148,HIS-HOH,0.352
1h9x,HEC_A_601,HIS-MET,-0.176
1h9x,HEC_B_601,HIS-MET,-0.050
1h9y,HEC_A_601,HIS-MET,-0.188
1h9y,HEC_B_601,HIS-MET,-0.129
1hab,HEM_A_200,HIS-CMO,0.050
1hab,HEM_B_200,HIS-CMO,0.090
1hab,HEM_C_200,HIS-CMO,-0.021
1hab,HEM_D_200,HIS-CMO,0.052
1hac,HEM_A_200,HIS-CMO,-0.082
1hac,HEM_B_200,HIS-CMO,0.029
1hac,HEM_C_200,HIS-CMO,-0.201
1hac,HEM_D_200,HIS-CMO,0.141
1hba,HEM_A_142,HIS,0.114
1hba,HEM_B_147,HIS,0.388
1hba,HEM_C_142,HIS,0.253
1hba,HEM_D_147,HIS,0.381
1hbb,HEM_A_142,HIS,0.084
1hbb,HEM_B_147,HIS,0.410
1hbb,HEM_C_142,HIS,0.273
1hbb,HEM_D_147,HIS,0.412
1hbg,HEM_A_148,HIS-CMO,-0.009
1hbh,HEM_A_144,HIS,0.011
1hbh,HEM_B_148,HIS,0.024
1hbh,HEM_C_144,HIS,0.029
1hbh,HEM_D_148,HIS,0.107
1hbi,HEM_A_153,HIS-OXY,-0.036
1hbi,HEM_B_153,HIS-OXY,0.057
1hbr,HEM_A_142,HIS-HOH,0.320
1hbr,HEM_B_147,HIS-HOH,0.258
1hbr,HEM_C_142,HIS-HOH,0.321
1hbr,HEM_D_147,HIS-HOH,0.257
1hbs,HEM_A_142,HIS,0.077
1hbs,HEM_B_147,HIS,-0.044
1hbs,HEM_C_142,HIS,-0.070
1hbs,HEM_D_147,HIS,0.196
1hbs,HEM_E_142,HIS,0.027
1hbs,HEM_F_147,HIS,0.087
1hbs,HEM_G_142,HIS,-0.022
1hbs,HEM_H_147,HIS,0.126
1hbz,HEM_A_504,TYR-HOH,-0.151
1hch,HEM_A_350,HIS-O,-0.717
1hcm,HEC_A_601,HIS-MET,-0.132
1hcm,HEC_B_601,HIS-MET,-0.033
1hco,HEM_A_200,HIS-CMO,-0.003
1hco,HEM_B_200,HIS-CMO,0.001
1hcz,HEM_A_253,HIS-TYR,-0.583
1hda,HEM_A_143,HIS,0.236
1hda,HEM_B_148,HIS,0.181
1hda,HEM_C_143,HIS,0.163
1hda,HEM_D_148,HIS,0.157
1hdb,HEM_A_142,HIS,0.172
1hdb,HEM_B_148,HIS,0.193
1hdb,HEM_C_142,HIS,0.051
1hdb,HEM_D_148,HIS,0.233
1hds,HEM_A_142,HIS,0.163
1hds,HEM_B_146,HIS,0.313
1hds,HEM_C_142,HIS,0.199
1hds,HEM_D_146,HIS,0.417
1hga,HEM_A_142,HIS,0.062
1hga,HEM_B_147,HIS,0.339
1hga,HEM_C_142,HIS,0.144
1hga,HEM_D_147,HIS,0.427
1hgb,HEM_A_142,HIS-HOH,-0.029
1hgb,HEM_B_147,HIS-HOH,0.318
1hgb,HEM_C_142,HIS-HOH,0.102
1hgb,HEM_D_147,HIS-HOH,0.220
1hgc,HEM_A_142,HIS-OXY,0.073
1hgc,HEM_B_147,HIS,0.321
1hgc,HEM_C_142,HIS-OXY,0.200
1hgc,HEM_D_147,HIS,0.435
1hh5,HEC_A_69,HIS-HIS,0.360
1hh5,HEC_A_70,HIS-HIS,0.458
1hh5,HEC_A_71,HIS-HIS,-0.014
1hh7,HEC_A_115,HIS-NH3,-0.443
1hho,HEM_A_143,HIS-OXY,0.192
1hho,HEM_B_147,HIS-OXY,0.245
1hj3,HEC_A_601,HIS-HIS,0.003
1hj3,HEC_B_601,HIS-MET,-0.186
1hj4,HEC_A_601,HIS-HIS,0.012
1hj4,HEC_B_601,HIS-MET,-0.137
1hj5,HEC_A_601,HIS-HIS,0.111
1hj5,HEC_B_601,HIS-HIS,0.130
1hjt,HEM_A_160,HIS-NO,-0.001
1hlb,HEM_A_158,HIS-HIS,0.033
1hlm,HEM_A_159,HIS-CYN,0.120
1hrc,HEC_A_105,HIS-MET,-0.224
1hrm,HEM_A_154,TYR,0.389
1hro,HEM_A_107,HIS-MET,-0.352
1hro,HEM_B_107,HIS-MET,-0.272
1hsr,HEM_A_345,HIS-HOH,-0.764
1hsy,HEM_A_154,HIS,0.161
1ht5,HEM_A_601,HIS,-0.101
1ht5,HEM_B_601,HIS,-0.069
1ht8,HEM_A_601,HIS,-0.119
1ht8,HEM_B_601,HIS,-0.141
1hv4,HEM_A_151,HIS,-0.029
1hv4,HEM_B_152,HIS,0.263
1hv4,HEM_C_153,HIS,0.014
1hv4,HEM_D_154,HIS,0.226
1hv4,HEM_E_155,HIS,-0.025
1hv4,HEM_F_156,HIS,0.245
1hv4,HEM_G_157,HIS,-0.003
1hv4,HEM_H_158,HIS,0.229
1hzu,HEC_A_601,HIS-MET,0.029
1hzv,HEC_A_601,HIS,-0.563
1i3d,HEM_A_147,HIS-CMO,0.066
1i3d,HEM_B_147,HIS-CMO,0.063
1i3e,HEM_A_147,HIS-AZI,0.122
1i3e,HEM_B_147,HIS-AZI,0.111
1i54,HEC_A_1104,HIS-MET,-0.272
1i54,HEC_B_1106,HIS-MET,-0.294
1i55,HEC_A_1104,HIS-MET,-0.234
1i55,HEC_B_1106,HIS-MET,-0.272
1i77,HEM_A_108,HIS-HIS,-0.063
1i77,HEM_A_109,HIS-HIS,-0.249
1i77,HEM_A_110,HIS-HIS,0.053
1i77,HEM_A_111,HIS-HIS,0.978
1i83,HEM_A_500,CYS,-0.562
1i83,HEM_B_500,CYS,-0.516
1i8o,HEC_A_115,HIS-NH3,-0.444
1i8p,HEC_A_115,HIS-MET,-0.288
1i8p,HEC_B_115,HIS-MET,-0.424
1i8p,HEC_C_115,HIS-MET,-0.335
1i8p,HEC_D_115,HIS-MET,-0.320
1ibe,HEM_A_143,HIS,0.231
1ibe,HEM_B_147,HIS,0.244
1icc,HEM_A_201,HIS-HIS,0.122
1icc,HEM_B_201,HIS-HIS,0.201
1icc,HEM_C_201,HIS-HIS,0.077
1icc,HEM_D_201,HIS-HIS,0.098
1idr,HEM_A_144,HIS-OXY,-0.124
1idr,HEM_B_144,HIS-OXY,0.146
1ike,HEM_A_185,HIS-HSM,0.237
1ikj,HEM_A_185,HIS-IMD,0.305
1io3,HEC_A_108,HIS-MET,-0.377
1io7,HEM_A_1401,CYS-HOH,-0.277
1io7,HEM_B_901,CYS-HOH,-0.300
1io8,HEM_A_401,CYS-HOH,-0.272
1io8,HEM_B_901,CYS-HOH,-0.246
1io9,HEM_A_401,CYS-HOH,-0.263
1io9,HEM_B_901,CYS-HOH,-0.368
1iph,HEM_A_754,TYR,-0.172
1iph,HEM_B_754,TYR,-0.172
1iph,HEM_C_754,TYR,-0.172
1iph,HEM_D_754,TYR,-0.172
1iqc,HEC_A_401,HIS-HOH,0.767
1iqc,HEC_A_402,HIS-MET,0.351
1iqc,HEC_B_401,HIS-HOH,0.690
1iqc,HEC_B_402,HIS-MET,0.253
1iqc,HEC_C_401,HIS-HOH,0.684
1iqc,HEC_C_402,HIS-MET,0.296
1iqc,HEC_D_401,HIS-HOH,0.652
